data_dir,data_file,class_column,dtype,drop_columns,model_name,smote,status,status_date
dataset/feature_files,review_body-fasttext-111909-200-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",lGBM,No,success,2019-06-09 17:52:36
dataset/feature_files,review_body-fasttext-111909-200-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",CB,No,success,2019-06-09 17:56:12
dataset/feature_files,review_body-fasttext-111909-200-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB100,No,success,2019-06-09 17:56:48
dataset/feature_files,review_body-word2vec-111909-200-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",lGBM,No,success,2019-06-09 17:57:32
dataset/feature_files,review_body-word2vec-111909-200-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",CB,No,success,2019-06-09 18:01:04
dataset/feature_files,review_body-word2vec-111909-200-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB100,No,success,2019-06-09 18:01:39
dataset/feature_files,review_body-fasttext-111909-400-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",lGBM,No,success,2019-06-09 18:03:05
dataset/feature_files,review_body-fasttext-111909-400-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",CB,No,success,2019-06-09 18:08:52
dataset/feature_files,review_body-fasttext-111909-400-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB100,No,success,2019-06-09 18:09:51
dataset/feature_files,review_body-word2vec-111909-400-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",lGBM,No,success,2019-06-09 18:11:07
dataset/feature_files,review_body-word2vec-111909-400-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",CB,No,success,2019-06-09 18:16:17
dataset/feature_files,review_body-word2vec-111909-400-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB100,No,success,2019-06-09 18:17:13
