word,count
ain't,1
amazon's,1
aren't,2
baby's,1
camworld's,1
can't,28
car's,1
children's,1
couldn't,3
daughter's,2
didn't,38
doesn't,59
don't,85
girl's,1
hadn't,3
hasn't,3
haven't,11
he's,2
here's,1
i'd,10
i'll,15
i'm,43
i've,39
isn't,16
it'd,2
it'll,3
it's,129
lifeproof's,1
man's,1
mount's,1
other's,1
phone's,1
she's,1
sideit'll,1
sierra's,1
sister's,1
son's,1
techmatte's,1
that's,13
there's,5
they'll,1
they're,11
today's,1
user's,1
wasn't,12
we'll,1
we're,1
we've,1
week's,1
weren't,2
what's,3
wife's,2
women's,1
won't,20
would've,3
wouldn't,7
yard's,1
you'd,3
you'll,8
you're,13
you've,1
