1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.9421944477827184,0.9005283712382265,0.9879032258064516,3968.0,0.8065724992793312,0.8754693366708386,0.7477284874398717,1871.0,0.870176848874598,0.885480572597137,0.855393125246938,2531.0,0.8682581786030061,0.9143389199255121,0.8265993265993266,4752.0,0.9720603813559321,0.9584176512827208,0.9860971186782188,14889.0,0.931562600406983,review_body-bow-df_90-ngram13-112043-56,0.8918524711791171,0.906846970342887,0.8807442567541613,28011.0,KNN,"{'n_jobs': 7, 'n_neighbors': 5}",0.6,0.0,success,2019-05-23 01:51:31,28011.0,57.0,0.8,84032.0,57.0,0.2,0.9299600943266938,0.9306083321788667,0.931562600406983,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-bow-df_90-ngram13-112043-56,1.0,1.0,1.0,28011.0,LR,"{'n_jobs': 7, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-23 01:51:48,28011.0,57.0,0.3,84032.0,57.0,0.3,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-tfidf-df_90-ngram13-112043-56,1.0,1.0,1.0,28011.0,KNN,"{'n_jobs': 7, 'n_neighbors': 5}",0.5,0.0,success,2019-05-23 01:52:28,28011.0,57.0,0.6,84032.0,57.0,0.1,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-tfidf-df_90-ngram13-112043-56,1.0,1.0,1.0,28011.0,LR,"{'n_jobs': 7, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-23 01:52:41,28011.0,57.0,0.2,84032.0,57.0,0.2,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-bow-df_90-ngram13-112043-56-lda,1.0,1.0,1.0,28011.0,KNN,"{'n_jobs': 7, 'n_neighbors': 5}",0.1,0.0,success,2019-05-23 01:52:48,28011.0,21.0,0.1,84032.0,21.0,0.0,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-bow-df_90-ngram13-112043-56-lda,1.0,1.0,1.0,28011.0,LR,"{'n_jobs': 7, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-23 01:52:55,28011.0,21.0,0.1,84032.0,21.0,0.1,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-tfidf-df_90-ngram13-112043-56-lda,1.0,1.0,1.0,28011.0,KNN,"{'n_jobs': 7, 'n_neighbors': 5}",0.0,0.0,success,2019-05-23 01:53:00,28011.0,21.0,0.0,84032.0,21.0,0.0,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,3968.0,1.0,1.0,1.0,1871.0,1.0,1.0,1.0,2531.0,1.0,1.0,1.0,4752.0,1.0,1.0,1.0,14889.0,1.0,review_body-tfidf-df_90-ngram13-112043-56-lda,1.0,1.0,1.0,28011.0,LR,"{'n_jobs': 7, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-23 01:53:08,28011.0,21.0,0.1,84032.0,21.0,0.1,1.0,1.0,1.0,28011.0
1.0,1.0,1.0,661.0,1.0,1.0,1.0,296.0,1.0,1.0,1.0,418.0,1.0,1.0,1.0,740.0,1.0,1.0,1.0,2903.0,1.0,review_body-tfidf-df_default-ngram1-112043-47308-lda,1.0,1.0,1.0,5018.0,KNN,"{'n_jobs': 7, 'n_neighbors': 5}",0.0,0.0,success,2019-05-23 01:53:08,5018.0,21.0,0.0,15054.0,21.0,0.0,1.0,1.0,1.0,5018.0
1.0,1.0,1.0,661.0,1.0,1.0,1.0,296.0,1.0,1.0,1.0,418.0,1.0,1.0,1.0,740.0,1.0,1.0,1.0,2903.0,1.0,review_body-tfidf-df_default-ngram1-112043-47308-lda,1.0,1.0,1.0,5018.0,LR,"{'n_jobs': 7, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-23 01:53:10,5018.0,21.0,0.0,15054.0,21.0,0.0,1.0,1.0,1.0,5018.0
1.0,1.0,1.0,661.0,1.0,1.0,1.0,296.0,0.9963985594237695,1.0,0.992822966507177,418.0,0.9979770734996629,0.9959623149394348,1.0,740.0,1.0,1.0,1.0,2903.0,0.9994021522518932,review_body-tfidf-df_default-ngram1-112043-47308,0.9988751265846865,0.999192462987887,0.9985645933014353,5018.0,KNN,"{'n_jobs': 7, 'n_neighbors': 5}",9.0,0.0,success,2019-05-23 02:25:08,5018.0,47309.0,10.5,15054.0,47309.0,1.5,0.9994016803963502,0.9994045661728141,0.9994021522518932,5018.0
1.0,1.0,1.0,661.0,1.0,1.0,1.0,296.0,1.0,1.0,1.0,418.0,1.0,1.0,1.0,740.0,1.0,1.0,1.0,2903.0,1.0,review_body-tfidf-df_default-ngram1-112043-47308,1.0,1.0,1.0,5018.0,LR,"{'n_jobs': 7, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-23 03:00:39,5018.0,47309.0,35.5,15054.0,47309.0,35.5,1.0,1.0,1.0,5018.0
