1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,param,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.669613774,0.609616607,0.742709677,3875,0.061977373,0.431506849,0.033386328,1887,0.198177007,0.400713436,0.131640625,2560,0.256854712,0.476887068,0.17576019,4637,0.804047218,0.695686007,0.952393635,15019,0.657552363,review_body-tfidf-df_default-ngram12-111909-10020-lda20,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.79,0.398134017,0.522881994,0.407178091,27978,CB,{'random_seed': 1},0.56,0,success,5/30/19 22:52,27978,10020,21.19,83931,10020,12.84,0.589250778,0.602694176,0.657552363,27978
0.677633257,0.669775649,0.685677419,3875,0.299978199,0.254814815,0.364599894,1887,0.317525072,0.281071321,0.36484375,2560,0.396928759,0.36128804,0.440370929,4637,0.778651069,0.863326848,0.709101804,15019,0.606583744,review_body-tfidf-df_default-ngram12-111909-10020-lda20,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.79,0.494143271,0.486055335,0.512918759,27978,LRB100,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.04,0,success,5/30/19 23:57,27978,10020,72.49,83931,10020,64.66,0.626916541,0.65899483,0.606583744,27978
0.677067449,0.620645161,0.744774194,3875,0.120704846,0.35770235,0.072602014,1887,0.233268537,0.403458213,0.1640625,2560,0.288293452,0.429547395,0.216950615,4637,0.815418872,0.720734076,0.938744257,15019,0.66294946,review_body-bow-df_default-ngram12-111909-10020-lda20,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.6,0.426950631,0.506417439,0.427426716,27978,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.28,0,success,5/31/19 0:05,27978,10020,7.96,83931,10020,2.08,0.608769985,0.605095208,0.66294946,27978
0.658904899,0.595416667,0.737548387,3875,0.072019465,0.44047619,0.039215686,1887,0.20675597,0.40617849,0.138671875,2560,0.261963953,0.468593663,0.181798577,4637,0.805634122,0.700299946,0.94826553,15019,0.656658803,review_body-bow-df_default-ngram12-111909-10020-lda20,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.6,0.401055682,0.522192991,0.409100011,27978,CB,{'random_seed': 1},0.55,0,success,5/31/19 0:14,27978,10020,14.71,83931,10020,8.56,0.590928523,0.602934763,0.656658803,27978
0.659235256,0.662239583,0.656258065,3875,0.278222222,0.239571374,0.331743508,1887,0.312047178,0.27437037,0.36171875,2560,0.378669747,0.341968011,0.424196679,4637,0.769084874,0.850379093,0.701977495,15019,0.593502037,review_body-bow-df_default-ngram12-111909-10020-lda20,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.6,0.479451855,0.473705686,0.495178899,27978,LRB100,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.07,0,success,5/31/19 1:13,27978,10020,63.8,83931,10020,58.13,0.614238333,0.64615723,0.593502037,27978
0.619655747,0.567361464,0.682568807,1635,0.083594566,0.186046512,0.053908356,742,0.147265077,0.256723716,0.103244838,1017,0.151724138,0.321428571,0.099297894,1994,0.807680585,0.712902184,0.931524184,7112,0.64672,review_body-bow-df_default-ngram12-50000-10020-lda20,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.28,0.361984023,0.40889249,0.374108816,12500,RF,"{'n_jobs': 3, 'verbose': 1}",0.03,0,success,5/31/19 1:16,12500,10020,2.59,37500,10020,0.28,0.581735612,0.563028755,0.64672,12500
0.677598666,0.620988283,0.745565749,1635,0.116129032,0.287234043,0.07277628,742,0.198749131,0.338862559,0.140609636,1017,0.264695276,0.471116816,0.184052156,1994,0.833456335,0.740708352,0.952755906,7112,0.68472,review_body-bow-df_default-ngram12-50000-10020-lda20,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.28,0.418125688,0.491782011,0.419151946,12500,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.13,0,success,5/31/19 1:16,12500,10020,3.06,37500,10020,0.65,0.628121061,0.622431316,0.68472,12500
0.644712991,0.637014925,0.652599388,1635,0.231638418,0.199416342,0.276280323,742,0.286089239,0.257683215,0.321533923,1017,0.359335911,0.328755722,0.396188566,1994,0.789000529,0.852571429,0.734251969,7112,0.60888,review_body-bow-df_default-ngram12-50000-10020-lda20,review_body-bow-df_default-ngram12-50000-10020-lda20.csv,2.28,0.462155418,0.455088327,0.476170834,12500,LRB100,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,5/31/19 1:26,12500,10020,11.62,37500,10020,9.32,0.627585742,0.653646165,0.60888,12500
0.625108727,0.594266814,0.659327217,1635,0.100208768,0.222222222,0.064690027,742,0.133426966,0.233415233,0.093411996,1017,0.156640182,0.318952234,0.103811434,1994,0.803340191,0.705120034,0.933352081,7112,0.64528,review_body-tfidf-df_default-ngram12-50000-10020-lda20,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,3.08,0.363744967,0.414795308,0.370918551,12500,RF,"{'n_jobs': 3, 'verbose': 1}",0.01,0,success,5/31/19 1:29,12500,10020,3.28,37500,10020,0.19,0.580623909,0.561976229,0.64528,12500
0.682196339,0.624048706,0.752293578,1635,0.126745435,0.312169312,0.079514825,742,0.206284153,0.337807606,0.14847591,1017,0.258386867,0.448019802,0.181544634,1994,0.835092918,0.744413869,0.950928009,7112,0.6852,review_body-tfidf-df_default-ngram12-50000-10020-lda20,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,3.08,0.421741142,0.493291859,0.422551391,12500,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.12,0,success,5/31/19 1:30,12500,10020,4.03,37500,10020,0.83,0.629890509,0.622649802,0.6852,12500
0.660146699,0.659743433,0.660550459,1635,0.237068966,0.197486535,0.296495957,742,0.310071041,0.269622093,0.364798427,1017,0.372767857,0.335880933,0.418756269,1994,0.790830064,0.873110243,0.72272216,7112,0.61168,review_body-tfidf-df_default-ngram12-50000-10020-lda20,review_body-tfidf-df_default-ngram12-50000-10020-lda20.csv,3.08,0.474176925,0.467168647,0.492664654,12500,LRB100,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.01,0,success,5/31/19 1:39,12500,10020,11.85,37500,10020,8.76,0.635061584,0.670298226,0.61168,12500
