1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,param,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.658904899,0.595416667,0.737548387,3875,0.072019465,0.44047619,0.039215686,1887,0.20675597,0.40617849,0.138671875,2560,0.261963953,0.468593663,0.181798577,4637,0.805634122,0.700299946,0.94826553,15019,0.656658803,review_body-bow-df_default-ngram12-111909-10020-lda20-nosmote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.6,0.401055682,0.522192991,0.409100011,27978,CB,{'random_seed': 1},0.55,0,success,5/31/19 0:14,27978,10020,14.71,83931,10020,8.56,0.590928523,0.602934763,0.656658803,27978
0.677067449,0.620645161,0.744774194,3875,0.120704846,0.35770235,0.072602014,1887,0.233268537,0.403458213,0.1640625,2560,0.288293452,0.429547395,0.216950615,4637,0.815418872,0.720734076,0.938744257,15019,0.66294946,review_body-bow-df_default-ngram12-111909-10020-lda20-nosmote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.6,0.426950631,0.506417439,0.427426716,27978,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.28,0,success,5/31/19 0:05,27978,10020,7.96,83931,10020,2.08,0.608769985,0.605095208,0.66294946,27978
0.659235256,0.662239583,0.656258065,3875,0.278222222,0.239571374,0.331743508,1887,0.312047178,0.27437037,0.36171875,2560,0.378669747,0.341968011,0.424196679,4637,0.769084874,0.850379093,0.701977495,15019,0.593502037,review_body-bow-df_default-ngram12-111909-10020-lda20-nosmote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.6,0.479451855,0.473705686,0.495178899,27978,LRB100,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.07,0,success,5/31/19 1:13,27978,10020,63.8,83931,10020,58.13,0.614238333,0.64615723,0.593502037,27978
0.662589195,0.590431974,0.75483871,3875,0.082752208,0.337121212,0.047164812,1887,0.216524217,0.4,0.1484375,2560,0.28641125,0.427958834,0.215225361,4637,0.807838363,0.715371188,0.927758173,15019,0.655014654,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.411223046,0.494176642,0.418684911,27978,CB,{'random_seed': 1},0.62,0,success,6/1/19 4:33,27978,10020,27.01,112031,10020,20.96,0.598291582,0.596063929,0.655014654,27978
0.678299567,0.620926244,0.747354839,3875,0.136609746,0.319066148,0.08691044,1887,0.242980562,0.393356643,0.17578125,2560,0.295888088,0.429098361,0.225792538,4637,0.812618665,0.723875937,0.926160197,15019,0.660054328,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.433279325,0.497264666,0.432399853,27978,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.3,0,success,6/1/19 4:12,27978,10020,10.08,112031,10020,4.35,0.610657533,0.603216163,0.660054328,27978
0.657065006,0.660751566,0.653419355,3875,0.262072092,0.229001585,0.306306306,1887,0.309135802,0.267140825,0.366796875,2560,0.369556914,0.331619537,0.417295665,4637,0.759810927,0.844850065,0.690325588,15019,0.584459218,review_body-bow-df_default-ngram12-111909-10020-lda20-smote,review_body-bow-df_default-ngram12-111909-10020-lda20.csv,5.43,0.471528148,0.466672716,0.486828758,27978,LRB100,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.07,0,success,6/1/19 8:30,27978,10020,242.41,112031,10020,236.91,0.60609337,0.63989355,0.584459218,27978
0.669613774,0.609616607,0.742709677,3875,0.061977373,0.431506849,0.033386328,1887,0.198177007,0.400713436,0.131640625,2560,0.256854712,0.476887068,0.17576019,4637,0.804047218,0.695686007,0.952393635,15019,0.657552363,review_body-tfidf-df_default-ngram12-111909-10020-lda20-nosmote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.79,0.398134017,0.522881994,0.407178091,27978,CB,{'random_seed': 1},0.56,0,success,5/30/19 22:52,27978,10020,21.19,83931,10020,12.84,0.589250778,0.602694176,0.657552363,27978
0.679707754,0.625460854,0.744258065,3875,0.120576671,0.343283582,0.073131955,1887,0.225235196,0.386148008,0.158984375,2560,0.296296296,0.436424675,0.224282942,4637,0.816742409,0.722449816,0.939343498,15019,0.663985989,review_body-tfidf-df_default-ngram12-111909-10020-lda20-nosmote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.54,0.427711665,0.502753387,0.428000167,27978,lGBM,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.27,0,success,5/30/19 11:17,27978,10020,10.61,83931,10020,2.8,0.610428837,0.605266668,0.663985989,27978
0.677633257,0.669775649,0.685677419,3875,0.299978199,0.254814815,0.364599894,1887,0.317525072,0.281071321,0.36484375,2560,0.396928759,0.36128804,0.440370929,4637,0.778651069,0.863326848,0.709101804,15019,0.606583744,review_body-tfidf-df_default-ngram12-111909-10020-lda20-nosmote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.79,0.494143271,0.486055335,0.512918759,27978,LRB100,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.04,0,success,5/30/19 23:57,27978,10020,72.49,83931,10020,64.66,0.626916541,0.65899483,0.606583744,27978
0.662586422,0.590743735,0.754322581,3875,0.091497227,0.357400722,0.052464229,1887,0.220193953,0.408033827,0.15078125,2560,0.294168342,0.440430108,0.220832435,4637,0.808266427,0.715686275,0.928357414,15019,0.65676603,review_body-tfidf-df_default-ngram12-111909-10020-lda20-smote,review_body-tfidf-df_default-ngram12-111909-10020-lda20.csv,7.77,0.415342474,0.502458933,0.421351582,27978,CB,{'random_seed': 1},0.62,0,success,6/1/19 10:52,27978,10020,34.95,112031,10020,26.56,0.600732227,0.600446075,0.65676603,27978
