1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,confusion_matrix,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_file,model_name,model_save_time_min,param,predict_time_min,smote_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,config_file
0.656333141,0.599661805,0.724833929,3914,0.090949621,0.281767956,0.054226475,1881,0.187285223,0.344573235,0.128588282,2543,0.244172146,0.408704352,0.174089069,4693,0.805756221,0.7049205,0.94025557,14947,0.648259347,"[[ 2837   108   144   114   711]
 [  810   102   182   180   607]
 [  530    93   327   427  1166]
 [  243    36   198   817  3399]
 [  311    23    98   461 14054]]",review_body-fasttext-111909-1600-nolda-nosmote-lGBM-star_rating,review_body-fasttext-111909-1600-nolda.csv,0.87,0.39689927,0.46792557,0.404398665,27978,models/2019-06-12-review_body-fasttext-111909-1600-nolda-nosmote-lGBM-star_rating.jbl,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.03,0,success,6/12/19 8:42,27978,1600,1.74,83931,1600,4.91,0.586381034,0.579306162,0.648259347,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.662270899,0.588597537,0.75702606,3914,0.048804295,0.297619048,0.026581606,1881,0.224659,0.351170569,0.165159261,2543,0.244235437,0.42390732,0.171532069,4693,0.812810442,0.715055129,0.941526728,14947,0.654478519,"[[ 2963    50   182    88   631]
 [  895    50   235   155   546]
 [  578    43   420   417  1085]
 [  272    16   254   805  3346]
 [  326     9   105   434 14073]]",review_body-fasttext-111909-1600-nolda-nosmote-CB-star_rating,review_body-fasttext-111909-1600-nolda.csv,0.77,0.398556014,0.47526992,0.412365145,27978,models/2019-06-12-review_body-fasttext-111909-1600-nolda-nosmote-CB-star_rating.jbl,CB,0,{'random_seed': 1},0.11,0,success,6/12/19 8:57,27978,1600,1.54,83931,1600,17.52,0.591554493,0.587388127,0.654478519,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.650765306,0.649770759,0.651762902,3914,0.289731051,0.234886026,0.377990431,1881,0.286726804,0.242837653,0.349980338,2543,0.364630468,0.326965342,0.412103132,4693,0.741361018,0.854783748,0.654512611,14947,0.567195654,"[[2551  863  319   84   97]
 [ 554  711  421  125   70]
 [ 292  653  890  518  190]
 [ 133  332  989 1934 1305]
 [ 396  468 1046 3254 9783]]",review_body-fasttext-111909-1600-nolda-nosmote-LRB100-star_rating,review_body-fasttext-111909-1600-nolda.csv,0.78,0.46664293,0.461848706,0.489269883,27978,models/2019-06-12-review_body-fasttext-111909-1600-nolda-nosmote-LRB100-star_rating.jbl,LRB100,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,6/12/19 9:00,27978,1600,1.56,83931,1600,2.59,0.593807981,0.640269517,0.567195654,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.670280244,0.610889216,0.742462954,3914,0.096703297,0.279187817,0.058479532,1881,0.203786192,0.348903718,0.143924499,2543,0.25981961,0.409445209,0.190283401,4693,0.812007874,0.715670766,0.938315381,14947,0.654085353,"[[ 2906   117   155   126   610]
 [  813   110   205   192   561]
 [  539   101   366   475  1062]
 [  212    38   211   893  3339]
 [  287    28   112   495 14025]]",review_body-word2vec-111909-1600-nolda-nosmote-lGBM-star_rating,review_body-word2vec-111909-1600-nolda.csv,0.78,0.408519443,0.472819345,0.414693153,27978,models/2019-06-12-review_body-word2vec-111909-1600-nolda-nosmote-lGBM-star_rating.jbl,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.03,0,success,6/12/19 9:05,27978,1600,1.56,83931,1600,4.86,0.596183401,0.586964477,0.654085353,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.677551927,0.599331892,0.77925396,3914,0.057004831,0.312169312,0.031366295,1881,0.235776525,0.33848418,0.180888714,2543,0.263345196,0.432959532,0.189217984,4693,0.818646494,0.72649041,0.937579447,14947,0.660197298,"[[ 3050    56   188    89   531]
 [  904    59   268   151   499]
 [  603    52   460   436   992]
 [  233    12   306   888  3254]
 [  299    10   137   487 14014]]",review_body-word2vec-111909-1600-nolda-nosmote-CB-star_rating,review_body-word2vec-111909-1600-nolda.csv,0.77,0.410464994,0.481887065,0.42366128,27978,models/2019-06-12-review_body-word2vec-111909-1600-nolda-nosmote-CB-star_rating.jbl,CB,0,{'random_seed': 1},0.11,0,success,6/12/19 9:19,27978,1600,1.54,83931,1600,15.45,0.601577388,0.596342555,0.660197298,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.652493235,0.658175201,0.646908533,3914,0.291900895,0.239904175,0.37267411,1881,0.30329599,0.25829646,0.367282737,2543,0.366744512,0.326513639,0.418282548,4693,0.747512063,0.856143684,0.663343815,14947,0.573486311,"[[2532  866  326  103   87]
 [ 553  701  428  129   70]
 [ 280  620  934  499  210]
 [ 139  312  980 1963 1299]
 [ 343  423  948 3318 9915]]",review_body-word2vec-111909-1600-nolda-nosmote-LRB100-star_rating,review_body-word2vec-111909-1600-nolda.csv,0.78,0.472389339,0.467806632,0.493698349,27978,models/2019-06-12-review_body-word2vec-111909-1600-nolda-nosmote-LRB100-star_rating.jbl,LRB100,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,6/12/19 9:22,27978,1600,1.56,83931,1600,2.69,0.599342362,0.6438385,0.573486311,27978,config/2019-06-11-run_classifiers-marmoset.csv
0.645123929,0.590042373,0.711548288,3914,0.073502722,0.250773994,0.043062201,1881,0.181713629,0.337967914,0.124262682,2543,0.219642584,0.38781014,0.153206904,4693,0.802211267,0.698699494,0.941727437,14947,0.642540568,"[[ 2785    94   156   127   752]
 [  801    81   185   171   643]
 [  549    83   316   404  1191]
 [  260    35   195   719  3484]
 [  325    30    83   433 14076]]",review_body-fasttext-111909-200-nolda-nosmote-lGBM-star_rating,review_body-fasttext-111909-200-nolda.csv,0.11,0.384438826,0.453058783,0.394761502,27978,models/2019-06-09-review_body-fasttext-111909-200-nolda-nosmote-lGBM-star_rating.jbl,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.01,0,success,6/9/19 17:52,27978,200,0.22,83931,200,0.66,0.577125095,0.568448011,0.642540568,27978,config/2019-06-09-run_classifiers.csv
0.657367829,0.58721865,0.746550843,3914,0.03515625,0.215568862,0.019138756,1881,0.222162741,0.347862531,0.163193079,2543,0.218950666,0.413120567,0.148945238,4693,0.808264321,0.706917293,0.943533819,14947,0.649617557,"[[ 2922    53   194    74   671]
 [  873    36   238   134   600]
 [  577    45   415   376  1130]
 [  269    27   252   699  3446]
 [  335     6    94   409 14103]]",review_body-fasttext-111909-200-nolda-nosmote-CB-star_rating,review_body-fasttext-111909-200-nolda.csv,0.11,0.388380361,0.454137581,0.404272347,27978,models/2019-06-09-review_body-fasttext-111909-200-nolda-nosmote-CB-star_rating.jbl,CB,0,{'random_seed': 1},0.02,0,success,6/9/19 17:56,27978,200,0.22,83931,200,4.18,0.583054139,0.575221276,0.649617557,27978,config/2019-06-09-run_classifiers.csv
0.641552803,0.641307123,0.641798671,3914,0.283636364,0.228739003,0.373205742,1881,0.291320996,0.245100671,0.359024774,2543,0.347085789,0.309372915,0.39526955,4693,0.728812266,0.847662142,0.639191811,14947,0.555293445,"[[2512  902  300   86  114]
 [ 542  702  428  136   73]
 [ 287  642  913  473  228]
 [ 146  349 1041 1855 1302]
 [ 430  474 1043 3446 9554]]",review_body-fasttext-111909-200-nolda-nosmote-LRB100-star_rating,review_body-fasttext-111909-200-nolda.csv,0.14,0.458481644,0.454436371,0.48169811,27978,models/2019-06-09-review_body-fasttext-111909-200-nolda-nosmote-LRB100-star_rating.jbl,LRB100,0,"{'n_jobs': 3, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0,0,success,6/9/19 17:56,27978,200,0.28,83931,200,0.58,0.582880031,0.63212232,0.555293445,27978,config/2019-06-09-run_classifiers.csv
0.662553835,0.608509728,0.727133367,3914,0.085485307,0.263013699,0.051036683,1881,0.188752784,0.323164919,0.133307118,2543,0.242621015,0.39462314,0.175154485,4693,0.808034301,0.708947687,0.939318927,14947,0.648473801,"[[ 2846   110   159   137   662]
 [  782    96   215   185   603]
 [  533    84   339   465  1122]
 [  220    56   218   822  3377]
 [  296    19   118   474 14040]]",review_body-word2vec-111909-200-nolda-nosmote-lGBM-star_rating,review_body-word2vec-111909-200-nolda.csv,0.12,0.397489449,0.459651835,0.405190116,27978,models/2019-06-09-review_body-word2vec-111909-200-nolda-nosmote-lGBM-star_rating.jbl,lGBM,0,"{'objective': 'multiclass', 'num_threads': 2, 'seed': 1}",0.02,0,success,6/9/19 17:57,27978,200,0.24,83931,200,0.72,0.587974159,0.577126732,0.648473801,27978,config/2019-06-09-run_classifiers.csv
