1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,confusion_matrix,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_file,model_name,model_save_time_min,param,predict_time_min,smote_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,config_file
0.670159956,0.642517187,0.700288184,1735,0.192513369,0.250497018,0.156327543,806,0.267202411,0.322815534,0.227934876,1167,0.284686845,0.384927066,0.225867808,2103,0.811812154,0.742807105,0.894951017,6635,0.644383738,"[[1215, 148, 88, 57, 227], [299, 126, 144, 68, 169], [180, 121, 266, 218, 382], [77, 65, 208, 475, 1278], [120, 43, 118, 416, 5938]]",review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-LR-star_rating,review_body-bow-df_none-ngram11-49784-10000-nolda.csv,2.09,0.445274947,0.468712782,0.441073886,12446,../models/review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-LR-star_rating.jbl,LR,0,"{'n_jobs': -1, 'c': 1, 'max_iter': 100, 'verbose': 1}",0.02,0,success,11/2/19 12:02,12446,10000,4.18,37338,10000,8.03,0.611826176,0.597093075,0.644383738,12446,../config/2019-11-01-run_classifiers-50k.csv
0.643329658,0.616481775,0.672622478,1735,0.242587601,0.214489991,0.279156328,806,0.277557494,0.258302583,0.29991431,1167,0.349341077,0.329401853,0.371849739,2103,0.771958098,0.829437229,0.721929163,6635,0.587658686,"[[1167, 303, 140, 64, 61], [283, 225, 180, 67, 51], [177, 231, 350, 271, 138], [91, 136, 359, 782, 735], [175, 154, 326, 1190, 4790]]",review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-LRB-star_rating,review_body-bow-df_none-ngram11-49784-10000-nolda.csv,2,0.456954786,0.449622686,0.469094404,12446,../models/review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-LRB-star_rating.jbl,LRB,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,11/2/19 12:10,12446,10000,4,37338,10000,7.65,0.601978019,0.6218835,0.587658686,12446,../config/2019-11-01-run_classifiers-50k.csv
0.496761476,0.485682819,0.508357349,1735,0.144658261,0.155492154,0.135235732,806,0.187330317,0.198465964,0.177377892,1167,0.232363098,0.241414659,0.223965763,2103,0.719528371,0.703965393,0.735795026,6635,0.526353849,"[[882, 210, 164, 154, 325], [249, 109, 116, 120, 212], [196, 113, 207, 244, 407], [172, 105, 246, 471, 1109], [317, 164, 310, 962, 4882]]",review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-DT-star_rating,review_body-bow-df_none-ngram11-49784-10000-nolda.csv,2.06,0.356128305,0.357004198,0.356146353,12446,../models/review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-DT-star_rating.jbl,DT,0,{},0.01,0,success,11/2/19 12:13,12446,10000,4.12,37338,10000,1.34,0.519027843,0.51246196,0.526353849,12446,../config/2019-11-01-run_classifiers-50k.csv
0.490304709,0.472,0.510086455,1735,0.153409091,0.141509434,0.167493797,806,0.195121951,0.180363636,0.212510711,1167,0.269256833,0.256454389,0.28340466,2103,0.685732494,0.727272727,0.648681236,6635,0.49558091,"[[885, 285, 180, 134, 251], [233, 135, 160, 105, 173], [204, 162, 248, 243, 310], [186, 126, 315, 596, 880], [367, 246, 472, 1246, 4304]]",review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-DTB-star_rating,review_body-bow-df_none-ngram11-49784-10000-nolda.csv,2.15,0.358765016,0.355520037,0.364435372,12446,../models/review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-DTB-star_rating.jbl,DTB,0,{'class_weight': 'balanced'},0.01,0,success,11/2/19 12:16,12446,10000,4.3,37338,10000,1.05,0.507642289,0.522918134,0.49558091,12446,../config/2019-11-01-run_classifiers-50k.csv
0.689856612,0.639586411,0.74870317,1735,0.117195005,0.259574468,0.075682382,806,0.253680634,0.373956594,0.191945159,1167,0.291047137,0.434782609,0.21873514,2103,0.816334609,0.725918104,0.932479277,6635,0.661336976,"[[1299, 73, 64, 41, 258], [345, 61, 120, 76, 204], [190, 60, 224, 225, 468], [83, 25, 129, 460, 1406], [114, 16, 62, 256, 6187]]",review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-LR-star_rating,review_body-tfidf-df_none-ngram11-49784-10000-nolda.csv,3,0.433622799,0.486763637,0.433509026,12446,../models/review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-LR-star_rating.jbl,LR,0,"{'n_jobs': -1, 'c': 1, 'max_iter': 100, 'verbose': 1}",0.01,0,success,11/2/19 12:26,12446,10000,6,37338,10000,8.17,0.611912097,0.601488128,0.661336976,12446,../config/2019-11-01-run_classifiers-50k.csv
0.641905302,0.631696429,0.652449568,1735,0.266348449,0.216446858,0.346153846,806,0.288041466,0.253585398,0.333333333,1167,0.362228436,0.330714847,0.400380409,2103,0.756375839,0.852980133,0.67942728,6635,0.574481761,"[[1132, 362, 149, 46, 46], [237, 279, 193, 65, 32], [139, 274, 389, 277, 88], [78, 178, 394, 842, 611], [206, 196, 409, 1316, 4508]]",review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-LRB-star_rating,review_body-tfidf-df_none-ngram11-49784-10000-nolda.csv,3.1,0.462979898,0.457084733,0.482348887,12446,../models/review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-LRB-star_rating.jbl,LRB,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.01,0,success,11/2/19 12:35,12446,10000,6.2,37338,10000,8.34,0.598171865,0.636461524,0.574481761,12446,../config/2019-11-01-run_classifiers-50k.csv
0.499020979,0.484782609,0.514121038,1735,0.137516689,0.148843931,0.127791563,806,0.164995442,0.17624148,0.155098543,1167,0.227319588,0.248171075,0.209700428,2103,0.734521644,0.709985935,0.760813866,6635,0.535513418,"[[892, 190, 168, 154, 331], [275, 103, 137, 110, 181], [219, 131, 181, 223, 413], [163, 111, 251, 441, 1137], [291, 157, 290, 849, 5048]]",review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-DT-star_rating,review_body-tfidf-df_none-ngram11-49784-10000-nolda.csv,3.11,0.352674868,0.353605006,0.353505088,12446,../models/review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-DT-star_rating.jbl,DT,0,{},0.01,0,success,11/2/19 12:40,12446,10000,6.22,37338,10000,2.03,0.523926863,0.514173252,0.535513418,12446,../config/2019-11-01-run_classifiers-50k.csv
0.45037292,0.448315248,0.452449568,1735,0.170022371,0.154786151,0.188585608,806,0.193472277,0.17877907,0.210796915,1167,0.247795614,0.236206897,0.260580124,2103,0.677995574,0.712813695,0.646420497,6635,0.483689539,"[[785, 305, 216, 138, 291], [232, 152, 159, 117, 146], [188, 140, 246, 248, 345], [183, 141, 285, 548, 946], [363, 244, 470, 1269, 4289]]",review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-DTB-star_rating,review_body-tfidf-df_none-ngram11-49784-10000-nolda.csv,3.03,0.347931751,0.346180212,0.351766542,12446,../models/review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-DTB-star_rating.jbl,DTB,0,{'class_weight': 'balanced'},0.01,0,success,11/2/19 12:43,12446,10000,6.06,37338,10000,1.23,0.495246023,0.509198275,0.483689539,12446,../config/2019-11-01-run_classifiers-50k.csv
0.606007067,0.619506322,0.593083574,1735,0.158238173,0.230952381,0.120347395,806,0.220532319,0.301186944,0.1739503,1167,0.292766935,0.36929761,0.242510699,2103,0.781532285,0.70276775,0.880180859,6635,0.616985377,"[[1029, 141, 97, 57, 411], [303, 97, 110, 72, 224], [159, 93, 203, 216, 496], [67, 37, 150, 510, 1339], [103, 52, 114, 526, 5840]]",review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-LR-star_rating,review_body-bow-df_none-ngram22-49784-10000-nolda.csv,2.06,0.411815356,0.444742201,0.402014565,12446,../models/review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-LR-star_rating.jbl,LR,0,"{'n_jobs': -1, 'c': 1, 'max_iter': 100, 'verbose': 1}",0.02,0,success,11/2/19 13:35,12446,10000,4.12,37338,10000,7.85,0.581510447,0.566605588,0.616985377,12446,../config/2019-11-01-run_classifiers-50k.csv
0.576162791,0.581231672,0.571181556,1735,0.207674944,0.190476191,0.228287841,806,0.253454402,0.234992679,0.275064267,1167,0.327898967,0.31705151,0.339514979,2103,0.742651657,0.771479617,0.715900528,6635,0.559215812,"[[991, 312, 176, 73, 183], [284, 184, 163, 82, 93], [161, 189, 321, 237, 259], [90, 109, 318, 714, 872], [179, 172, 388, 1146, 4750]]",review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-LRB-star_rating,review_body-bow-df_none-ngram22-49784-10000-nolda.csv,2.17,0.421568552,0.419046334,0.425989834,12446,../models/review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-LRB-star_rating.jbl,LRB,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.02,0,success,11/2/19 13:44,12446,10000,4.34,37338,10000,8.18,0.568847421,0.58024456,0.559215812,12446,../config/2019-11-01-run_classifiers-50k.csv
0.493387589,0.441511152,0.55907781,1735,0.13570939,0.151607963,0.122828784,806,0.158820732,0.178418803,0.143101971,1167,0.236479321,0.267225884,0.212077984,2103,0.712167914,0.694035188,0.731273549,6635,0.524987948,"[[970, 151, 140, 109, 365], [317, 99, 119, 82, 189], [248, 110, 167, 186, 456], [239, 105, 184, 446, 1129], [423, 188, 326, 846, 4852]]",review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-DT-star_rating,review_body-bow-df_none-ngram22-49784-10000-nolda.csv,2.13,0.347312989,0.346559798,0.35367202,12446,../models/review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-DT-star_rating.jbl,DT,0,{},0.01,0,success,11/2/19 13:55,12446,10000,4.26,37338,10000,11.79,0.512076423,0.503240569,0.524987948,12446,../config/2019-11-01-run_classifiers-50k.csv
0.462289745,0.436699129,0.491066282,1735,0.186612576,0.15780446,0.228287841,806,0.170053919,0.164790997,0.175664096,1167,0.248741912,0.250724638,0.2467903,2103,0.671462451,0.706068163,0.64009043,6635,0.482645026,"[[852, 302, 185, 92, 304], [250, 184, 134, 78, 160], [218, 173, 205, 213, 358], [186, 178, 274, 519, 946], [445, 329, 446, 1168, 4247]]",review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-DTB-star_rating,review_body-bow-df_none-ngram22-49784-10000-nolda.csv,2.19,0.347832121,0.343217477,0.35637979,12446,../models/review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-DTB-star_rating.jbl,DTB,0,{'class_weight': 'balanced'},0.01,0,success,11/2/19 14:06,12446,10000,4.38,37338,10000,9.64,0.492462877,0.505319834,0.482645026,12446,../config/2019-11-01-run_classifiers-50k.csv
0.627496382,0.630232558,0.624783862,1735,0.0818468,0.265306122,0.048387097,806,0.174934726,0.367123288,0.114824336,1167,0.253926702,0.407135362,0.184498336,2103,0.787242074,0.675628982,0.94302939,6635,0.63490278,"[[1084, 58, 58, 51, 484], [335, 39, 66, 63, 303], [156, 28, 134, 206, 643], [59, 9, 73, 388, 1574], [86, 13, 34, 245, 6257]]",review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-LR-star_rating,review_body-tfidf-df_none-ngram22-49784-10000-nolda.csv,3.02,0.385089337,0.469085262,0.383104604,12446,../models/review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-LR-star_rating.jbl,LR,0,"{'n_jobs': -1, 'c': 1, 'max_iter': 100, 'verbose': 1}",0.01,0,success,11/2/19 14:15,12446,10000,6.04,37338,10000,8.09,0.57176463,0.568433799,0.63490278,12446,../config/2019-11-01-run_classifiers-50k.csv
0.597077244,0.618665019,0.576945245,1735,0.223602485,0.191829485,0.267990074,806,0.267520723,0.23873571,0.3041988,1167,0.340867993,0.324859974,0.358535426,2103,0.742597175,0.789277231,0.701130369,6635,0.56066206,"[[1001, 345, 164, 67, 158], [262, 216, 185, 69, 74], [126, 204, 355, 248, 234], [72, 136, 365, 754, 776], [157, 225, 418, 1183, 4652]]",review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-LRB-star_rating,review_body-tfidf-df_none-ngram22-49784-10000-nolda.csv,3.13,0.434333124,0.432673484,0.441759983,12446,../models/review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-LRB-star_rating.jbl,LRB,0,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.01,0,success,11/2/19 14:25,12446,10000,6.26,37338,10000,9.08,0.576275667,0.596708814,0.56066206,12446,../config/2019-11-01-run_classifiers-50k.csv
0.497626361,0.482665222,0.513544669,1735,0.127436282,0.160984849,0.105459057,806,0.157464213,0.195183777,0.131962297,1167,0.229480737,0.277890467,0.195435093,2103,0.734676917,0.679651461,0.799397136,6635,0.549975896,"[[891, 160, 133, 108, 443], [278, 85, 94, 119, 230], [208, 81, 154, 188, 536], [165, 65, 171, 411, 1291], [304, 137, 237, 653, 5304]]",review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-DT-star_rating,review_body-tfidf-df_none-ngram22-49784-10000-nolda.csv,3.26,0.349336902,0.359275155,0.34915965,12446,../models/review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-DT-star_rating.jbl,DT,0,{},0.01,0,success,11/2/19 14:42,12446,10000,6.52,37338,10000,16.29,0.522821424,0.505290737,0.549975896,12446,../config/2019-11-01-run_classifiers-50k.csv
