1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,confusion_matrix,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_file,model_name,model_save_time_min,param,predict_time_min,smote_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,config_file
0.4625878462,0.360618756,0.6449567723,1735,0.0667267809,0.1221122112,0.0459057072,806,0.1233140655,0.2461538462,0.0822622108,1167,0.1549983719,0.2458677686,0.1131716595,2103,0.7339526437,0.6839364749,0.7918613414,6635,0.5418608388,"[[1119, 66, 55, 91, 404], [405, 37, 41, 69, 254], [429, 61, 96, 117, 464], [445, 50, 64, 238, 1306], [705, 89, 134, 453, 5254]]",review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-KNN-star_rating,review_body-bow-df_none-ngram11-49784-10000-nolda.csv,2.17,0.3083159416,0.3317378114,0.3356315382,12446,../models/review_body-bow-df_none-ngram11-49784-10000-nolda-sampling_none-KNN-star_rating.jbl,KNN,0.11,"{""n_jobs"": 6, ""n_neighbors"": 5}",25.2,0,success,2019-11-04 14:32:47,12446,10000,4.34,37338,10000,0.6,0.4978319605,0.487412498,0.5418608388,12446,../config/2019-11-run_classifiers-50k-KNN.csv
0.2391817467,0.3767038414,0.1752161383,1735,0.0167264038,0.2258064516,0.0086848635,806,0.0518867925,0.3142857143,0.028277635,1167,0.056268101,0.2165605096,0.0323347599,2103,0.6963644524,0.5546518902,0.9353428787,6635,0.5317371043,"[[304, 15, 15, 20, 1381], [93, 7, 10, 20, 676], [85, 5, 33, 26, 1018], [104, 2, 21, 68, 1908], [221, 2, 26, 180, 6206]]",review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-KNN-star_rating,review_body-tfidf-df_none-ngram11-49784-10000-nolda.csv,3.02,0.2120854993,0.3376016814,0.2359712551,12446,../models/review_body-tfidf-df_none-ngram11-49784-10000-nolda-sampling_none-KNN-star_rating.jbl,KNN,0.08,"{""n_jobs"": 6, ""n_neighbors"": 5}",26.71,0,success,2019-11-04 14:58:17,12446,10000,6.04,37338,10000,0.63,0.4200324327,0.4288843513,0.5317371043,12446,../config/2019-11-run_classifiers-50k-KNN.csv
0.481652623,0.4557613169,0.5106628242,1735,0.0761559383,0.1414141414,0.0521091811,806,0.1066020594,0.1818181818,0.0754070266,1167,0.1559480173,0.2605790646,0.1112696148,2103,0.7298486221,0.6393516944,0.8501883949,6635,0.5536718624,"[[886, 78, 90, 72, 609], [269, 42, 65, 50, 380], [254, 43, 88, 113, 669], [193, 44, 108, 234, 1524], [342, 90, 133, 429, 5641]]",review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-KNN-star_rating,review_body-bow-df_none-ngram22-49784-10000-nolda.csv,1.96,0.310041452,0.3357848798,0.3199274083,12446,../models/review_body-bow-df_none-ngram22-49784-10000-nolda-sampling_none-KNN-star_rating.jbl,KNN,0.09,"{""n_jobs"": 6, ""n_neighbors"": 5}",24.98,0,success,2019-11-05 12:25:31,12446,10000,3.92,37338,10000,0.58,0.4975058556,0.4746106192,0.5536718624,12446,../config/2019-11-run_classifiers-50k-KNN.csv
0.2729091637,0.4463350785,0.1965417867,1735,0.0355648536,0.1133333333,0.0210918114,806,0.0581473969,0.1378205128,0.0368466153,1167,0.1106935429,0.1966019417,0.0770328103,2103,0.6865128295,0.562331666,0.8810851545,6635,0.5149445605,"[[341, 38, 56, 93, 1207], [92, 17, 33, 49, 615], [66, 24, 43, 89, 945], [72, 22, 64, 162, 1783], [193, 49, 116, 431, 5846]]",review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-KNN-star_rating,review_body-tfidf-df_none-ngram22-49784-10000-nolda.csv,2.96,0.2327655573,0.2912845065,0.2425196356,12446,../models/review_body-tfidf-df_none-ngram22-49784-10000-nolda-sampling_none-KNN-star_rating.jbl,KNN,0.11,"{""n_jobs"": 6, ""n_neighbors"": 5}",27.06,0,success,2019-11-05 12:51:16,12446,10000,5.92,37338,10000,0.6,0.4304854433,0.4154828101,0.5149445605,12446,../config/2019-11-run_classifiers-50k-KNN.csv
0.495194508,0.410626186,0.6236311239,1735,0.0934744268,0.1615853659,0.0657568238,806,0.1170418006,0.2345360825,0.0779777207,1167,0.1752206603,0.280334728,0.1274369948,2103,0.7460403411,0.6771102101,0.8305953278,6635,0.5628314318,"[[1082, 85, 49, 67, 452], [392, 53, 47, 55, 259], [331, 65, 91, 140, 540], [324, 52, 82, 268, 1377], [506, 73, 119, 426, 5511]]",review_body-bow-df_none-ngram13-49784-4000-nolda-sampling_none-KNN-star_rating,review_body-bow-df_none-ngram13-49784-4000-nolda.csv,0.33,0.3253943474,0.3528385145,0.3450795982,12446,../models/review_body-bow-df_none-ngram13-49784-4000-nolda-sampling_none-KNN-star_rating.jbl,KNN,0.04,"{""n_jobs"": 6, ""n_neighbors"": 5}",10.5,0,success,2019-11-05 13:00:34,12446,4000,0.66,37338,4000,0.23,0.5133824002,0.4980353546,0.5628314318,12446,../config/2019-11-run_classifiers-50k-KNN.csv
0.3248355263,0.5667144907,0.2276657061,1735,0.0280046674,0.2352941176,0.0148883375,806,0.0764144012,0.2680412371,0.0445586975,1167,0.0552349547,0.2074303406,0.0318592487,2103,0.7061068702,0.5625614882,0.9480030143,6635,0.54764583,"[[395, 19, 33, 23, 1265], [90, 12, 23, 12, 669], [71, 12, 52, 34, 998], [48, 4, 25, 67, 1959], [93, 4, 61, 187, 6290]]",review_body-tfidf-df_none-ngram13-49784-4000-nolda-sampling_none-KNN-star_rating,review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv,0.47,0.238119284,0.3680083348,0.2533950008,12446,../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-sampling_none-KNN-star_rating.jbl,KNN,0.04,"{""n_jobs"": 6, ""n_neighbors"": 5}",11.1,0,success,2019-11-05 13:10:31,12446,4000,0.94,37338,4000,0.28,0.4400221115,0.4543244661,0.54764583,12446,../config/2019-11-run_classifiers-50k-KNN.csv
0.1298619824,0.1340673575,0.1259124088,1644,0.0363967243,0.0595238095,0.0262123198,763,0.0744920993,0.0989505247,0.0597285068,1105,0.1387800783,0.155,0.125633232,1974,0.5902753203,0.5391776571,0.6520719312,6395,0.3965154448,"[[207, 40, 100, 245, 1052], [119, 20, 38, 107, 479], [142, 26, 66, 130, 741], [253, 66, 115, 248, 1292], [823, 184, 348, 870, 4170]]",review_body-word2vec-df_none-ngram_none-47523-100-nolda-sampling_none-KNN-star_rating,review_body-word2vec-df_none-ngram_none-47523-100-nolda.csv,0.01,0.1939612409,0.1973438698,0.1979116797,11881,../models/review_body-word2vec-df_none-ngram_none-47523-100-nolda-sampling_none-KNN-star_rating.jbl,KNN,0,"{""n_jobs"": 6, ""n_neighbors"": 5}",0.35,0,success,2019-11-04 14:58:35,11881,100,0.02,35642,100,0,0.36801112,0.3475443859,0.3965154448,11881,../config/2019-11-run_classifiers-50k-KNN.csv
0.1141199226,0.121399177,0.1076642336,1644,0.0334883721,0.0576923077,0.0235910878,763,0.0664335664,0.093289689,0.0515837104,1105,0.138750691,0.152676399,0.1271529889,1974,0.5824152691,0.5282586558,0.6489444879,6395,0.3916337009,"[[177, 31, 75, 225, 1136], [90, 18, 41, 104, 510], [128, 30, 57, 146, 744], [255, 64, 88, 251, 1316], [808, 169, 350, 918, 4150]]",review_body-fasttext-df_none-ngram_none-47523-100-nolda-sampling_none-KNN-star_rating,review_body-fasttext-df_none-ngram_none-47523-100-nolda.csv,0.01,0.1870415643,0.1906632457,0.1917873017,11881,../models/review_body-fasttext-df_none-ngram_none-47523-100-nolda-sampling_none-KNN-star_rating.jbl,KNN,0,"{""n_jobs"": 6, ""n_neighbors"": 5}",0.32,0,success,2019-11-04 14:58:52,11881,100,0.02,35642,100,0,0.3606610034,0.3388840922,0.3916337009,11881,../config/2019-11-run_classifiers-50k-KNN.csv
0.1265492498,0.1365235749,0.1179331307,1645,0.0280898876,0.0491803279,0.0196592398,763,0.0681293303,0.0940988836,0.0533936652,1105,0.146898803,0.1587301587,0.1367088608,1975,0.5957835559,0.5412410623,0.6625507971,6398,0.4019013966,"[[194, 44, 99, 237, 1071], [99, 15, 55, 103, 491], [136, 31, 59, 150, 729], [253, 46, 104, 270, 1302], [739, 169, 310, 941, 4239]]",review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda-sampling_none-KNN-star_rating,review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda.csv,0.04,0.1930901653,0.1959548015,0.1980491387,11886,../models/review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda-sampling_none-KNN-star_rating.jbl,KNN,0,"{""n_jobs"": 6, ""n_neighbors"": 5}",1.02,0,success,2019-11-04 14:59:46,11886,300,0.08,35656,300,0.01,0.3707586519,0.3485140095,0.4019013966,11886,../config/2019-11-run_classifiers-50k-KNN.csv
0.1168831169,0.1253481894,0.1094890511,1644,0.0324324324,0.0518731988,0.0235910878,763,0.0601503759,0.0833333333,0.0470588235,1105,0.1525565801,0.1700934579,0.1382978723,1974,0.5890353337,0.5338670733,0.6569194683,6395,0.3976096288,"[[180, 42, 88, 224, 1110], [106, 18, 40, 100, 499], [114, 36, 52, 145, 758], [248, 63, 89, 273, 1301], [788, 188, 355, 863, 4201]]",review_body-fasttext-df_none-ngram_none-47523-300-nolda-sampling_none-KNN-star_rating,review_body-fasttext-df_none-ngram_none-47523-300-nolda.csv,0.04,0.1902115678,0.1929030506,0.1950712606,11881,../models/review_body-fasttext-df_none-ngram_none-47523-300-nolda-sampling_none-KNN-star_rating.jbl,KNN,0,"{""n_jobs"": 6, ""n_neighbors"": 5}",0.85,0,success,2019-11-04 15:06:34,11881,300,0.08,35642,300,0.01,0.3662482622,0.3440433825,0.3976096288,11881,../config/2019-11-run_classifiers-50k-KNN.csv
