"1_f1-score","1_precision","1_recall","1_support","2_f1-score","2_precision","2_recall","2_support","3_f1-score","3_precision","3_recall","3_support","4_f1-score","4_precision","4_recall","4_support","5_f1-score","5_precision","5_recall","5_support","accuracy","confusion_matrix","description","file","file_load_time_min","macro avg_f1-score","macro avg_precision","macro avg_recall","macro avg_support","model_file","model_name","model_save_time_min","param","predict_time_min","smote_time_min","status","status_date","test_examples","test_features","total_time_min","train_examples","train_features","train_time_min","weighted avg_f1-score","weighted avg_precision","weighted avg_recall","weighted avg_support","config_file"
0.6560601678,0.6585365854,0.6536023055,1735,0.2733040508,0.2252614642,0.3473945409,806,0.3111612176,0.2771084337,0.3547557841,1167,0.3834152597,0.3482142857,0.4265335235,2103,0.7693840279,0.8564036223,0.698417483,6635,0.591274305,"[[1134, 374, 139, 38, 50], [247, 280, 187, 66, 26], [115, 278, 414, 264, 96], [69, 140, 392, 897, 605], [157, 171, 362, 1311, 4634]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-sampling_none-LRB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.59,0.4786649447,0.4731048783,0.4961407274,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-sampling_none-LRB-star_rating.jbl","LRB",0,"{""n_jobs"": 6, ""c"": 1, ""class_weight"": ""balanced"", ""max_iter"": 100, ""verbose"": 1}",0,0,"success","2019-11-29 01:46:21",12446,4000,0.59,37338,4000,3.18,0.613277994,0.6477615245,0.591274305,12446,"../config/201911-run_classifiers-sampling.csv"
0.4916264547,0.4843400447,0.4991354467,1735,0.1396160558,0.1314348302,0.1488833747,806,0.2099629477,0.2020602219,0.2185089974,1167,0.2577576444,0.2461072664,0.2705658583,2103,0.6887396533,0.7146329606,0.6646571213,6635,0.4997589587,"[[866, 271, 194, 130, 274], [258, 120, 146, 93, 189], [175, 157, 255, 251, 329], [160, 145, 260, 569, 969], [329, 220, 407, 1269, 4410]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-sampling_none-DTB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.54,0.3575405512,0.3557150648,0.3603501597,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-sampling_none-DTB-star_rating.jbl","DTB",0,"{""class_weight"": ""balanced""}",0,0,"success","2019-11-29 01:47:38",12446,4000,0.54,37338,4000,0.94,0.5079849852,0.5175336658,0.4997589587,12446,"../config/201911-run_classifiers-sampling.csv"
0.6439976345,0.6612021858,0.6276657061,1735,0.2850553506,0.2268722467,0.3833746898,806,0.2813943721,0.2759472817,0.2870608398,1167,0.3605706874,0.3305588585,0.3965763195,2103,0.7646534252,0.8273684211,0.7107761869,6635,0.5851679254,"[[1089, 417, 129, 57, 43], [235, 309, 147, 74, 41], [112, 297, 335, 295, 128], [62, 165, 270, 834, 772], [149, 174, 333, 1263, 4716]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-smote-LRB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.51,0.467134294,0.4643897988,0.4810907484,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-smote-LRB-star_rating.jbl","LRB",0,"{""n_jobs"": 6, ""c"": 1, ""class_weight"": ""balanced"", ""max_iter"": 100, ""verbose"": 1}",0,2.26,"success","2019-11-29 01:56:47",12446,4000,2.77,99525,4000,8.13,0.6031844265,0.6296665639,0.5851679254,12446,"../config/201911-run_classifiers-sampling.csv"
0.4808362369,0.4844938561,0.4772334294,1735,0.1678246927,0.1474178404,0.1947890819,806,0.1974148061,0.1818181818,0.2159383033,1167,0.2374913535,0.2305282005,0.2448882549,2103,0.6881059352,0.7212491738,0.6578749058,6635,0.4914832075,"[[828, 315, 220, 132, 240], [239, 157, 124, 121, 165], [198, 151, 252, 243, 323], [159, 169, 301, 515, 959], [285, 273, 489, 1223, 4365]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-smote-DTB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.49,0.3543346049,0.3531014505,0.3581447951,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-smote-DTB-star_rating.jbl","DTB",0,"{""class_weight"": ""balanced""}",0,2.18,"success","2019-11-29 02:01:51",12446,4000,2.67,99525,4000,3.35,0.503368781,0.5175868963,0.4914832075,12446,"../config/201911-run_classifiers-sampling.csv"
0.615248227,0.6312916919,0.6,1735,0.2708158116,0.2048346056,0.3995037221,806,0.2664092664,0.2424455376,0.2956298201,1167,0.3703391616,0.3324508321,0.4179743224,2103,0.7446790469,0.8512989531,0.6617935192,6635,0.5606620601,"[[1041, 476, 117, 48, 53], [213, 322, 167, 73, 31], [116, 325, 345, 268, 113], [80, 199, 375, 879, 570], [199, 250, 419, 1376, 4391]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-random_under_sampling-LRB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.52,0.4534983027,0.4524643241,0.4749802767,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-random_under_sampling-LRB-star_rating.jbl","LRB",0,"{""n_jobs"": 6, ""c"": 1, ""class_weight"": ""balanced"", ""max_iter"": 100, ""verbose"": 1}",0,0.04,"success","2019-11-29 02:02:47",12446,4000,0.56,12100,4000,0.49,0.5878516443,0.6340056543,0.5606620601,12446,"../config/201911-run_classifiers-sampling.csv"
0.4136267712,0.4336283186,0.395389049,1735,0.1877579092,0.1298763083,0.3387096774,806,0.1993031359,0.1679389313,0.2450728363,1167,0.2554621849,0.228829507,0.2891107941,2103,0.6117604421,0.7669241254,0.5088168802,6635,0.4201349831,"[[686, 545, 222, 142, 140], [184, 273, 152, 113, 84], [163, 272, 286, 266, 180], [168, 348, 357, 608, 622], [381, 664, 686, 1528, 3376]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-random_under_sampling-DTB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.49,0.3335820887,0.3454394381,0.3554198474,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-random_under_sampling-DTB-star_rating.jbl","DTB",0,"{""class_weight"": ""balanced""}",0,0.04,"success","2019-11-29 02:03:30",12446,4000,0.53,12100,4000,0.25,0.4578040809,0.5321211791,0.4201349831,12446,"../config/201911-run_classifiers-sampling.csv"
0.6314853246,0.6501831502,0.613832853,1735,0.2775433662,0.2230595328,0.3672456576,806,0.2894930198,0.2533762058,0.3376178235,1167,0.3591253154,0.3218997361,0.406086543,2103,0.7463889822,0.8427839939,0.6697814619,6635,0.5666880926,"[[1065, 425, 144, 49, 52], [227, 296, 176, 64, 43], [112, 278, 394, 270, 113], [60, 153, 415, 854, 621], [174, 175, 426, 1416, 4444]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-nearmiss-2-LRB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.49,0.4608072016,0.4582605238,0.4789128678,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-nearmiss-2-LRB-star_rating.jbl","LRB",0,"{""n_jobs"": 6, ""c"": 1, ""class_weight"": ""balanced"", ""max_iter"": 100, ""verbose"": 1}",0,2.53,"success","2019-11-29 02:06:28",12446,4000,3.02,12100,4000,0.49,0.5917320248,0.6325221538,0.5666880926,12446,"../config/201911-run_classifiers-sampling.csv"
0.4407484407,0.4546568627,0.4276657061,1735,0.1770390414,0.1285794497,0.2841191067,806,0.176727909,0.1339522546,0.2596401028,1167,0.2659806056,0.2277966102,0.3195435093,2103,0.5501147666,0.7526825438,0.4334589299,6635,0.3874337136,"[[742, 506, 236, 128, 123], [197, 229, 197, 99, 84], [162, 258, 303, 249, 195], [170, 258, 460, 672, 543], [361, 530, 1066, 1802, 2876]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-nearmiss-2-DTB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.52,0.3221221527,0.3395335442,0.344885471,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-nearmiss-2-DTB-star_rating.jbl","DTB",0,"{""class_weight"": ""balanced""}",0,2.47,"success","2019-11-29 02:09:16",12446,4000,2.99,12100,4000,0.29,0.427687785,0.5240150992,0.3874337136,12446,"../config/201911-run_classifiers-sampling.csv"
0.633213859,0.6571605704,0.6109510086,1735,0.2928832117,0.2316017316,0.3982630273,806,0.2767558528,0.2702040816,0.2836332476,1167,0.3528878822,0.3369377163,0.3704232049,2103,0.7719410124,0.8192893401,0.7297663904,6635,0.5891852804,"[[1060, 452, 124, 48, 51], [224, 321, 155, 59, 47], [112, 311, 331, 262, 151], [68, 145, 292, 779, 819], [149, 157, 323, 1164, 4842]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-adasyn-LRB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.53,0.4655363636,0.463038688,0.4786073758,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-adasyn-LRB-star_rating.jbl","LRB",0,"{""n_jobs"": 6, ""c"": 1, ""class_weight"": ""balanced"", ""max_iter"": 100, ""verbose"": 1}",0.01,18.83,"success","2019-11-29 02:32:25",12446,4000,19.36,99466,4000,8.32,0.6043400151,0.6256417755,0.5891852804,12446,"../config/201911-run_classifiers-sampling.csv"
0.492036405,0.485682201,0.4985590778,1735,0.163377193,0.1463654224,0.1848635236,806,0.2048240411,0.1901615272,0.2219365895,1167,0.2382877527,0.2383444339,0.2382310984,2103,0.6948041816,0.7202005499,0.671137905,6635,0.5003213884,"[[865, 284, 197, 145, 244], [223, 149, 152, 106, 176], [197, 171, 259, 213, 327], [160, 168, 291, 501, 983], [336, 246, 463, 1137, 4453]]","review_body-tfidf-df_none-ngram13-49784-4000-nolda-adasyn-DTB-star_rating","review_body-tfidf-df_none-ngram13-49784-4000-nolda.csv",0.52,0.3586659147,0.3561508269,0.3629456389,12446,"../models/review_body-tfidf-df_none-ngram13-49784-4000-nolda-adasyn-DTB-star_rating.jbl","DTB",0,"{""class_weight"": ""balanced""}",0.01,18.8,"success","2019-11-29 02:51:16",12446,4000,19.32,99466,4000,3.25,0.5090422405,0.5192283982,0.5003213884,12446,"../config/201911-run_classifiers-sampling.csv"
